Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Charles River|a river in eastern Massachusetts that empties into Boston Harbor and that separates Cambridge from Boston
Chattahoochee River|a river rising in northern Georgia and flowing southwest and south to join the Flint River at the Florida border where they form the Apalachicola River
Lake Baikal|the largest freshwater lake in Asia or Europe and the deepest lake in the world
Lake Chelan|a narrow very deep lake in central Washington in the Cascade Range
Coeur d'Alene Lake|a lake in northern Idaho
Lake Tahoe|a lake on the border between Nevada and California to the west of Carson City; a popular resort area
Chesapeake Bay|a large inlet of the North Atlantic between Virginia and Maryland; fed by Susquehanna River
Chiron|an asteroid discovered in 1977; it is unique in having an orbit lying mainly between the orbits of Saturn and Uranus
Chukchi Peninsula|peninsula of northeastern Siberia across the Bering Strait from northwestern Alaska
Chukchi Sea|part of the Arctic Ocean just to the north of the Bering Strait
Cimarron River|a river that rises in northeastern New Mexico and flows eastward into Oklahoma where it becomes a tributary of the Arkansas River
Circinus|a small faint constellation in the southern hemisphere near Musca and Triangulum Australe
Clinch River|a river that rises in southwestern Virginia and flows generally southwestward across eastern Tennessee to the Tennessee River
Clyde|a river in western Scotland that flows from the southern uplands into the Firth of Clyde; navigable by oceangoing vessels as far as Glasgow
Coast Mountains|a string of mountain ranges along the Pacific coast of North America from southeastern Alaska to Lower California
River Cocytus|(Greek mythology) a river in Hades that was said to be a tributary of the Acheron
Colorado River|an important river in the southwestern United States; rises in the Rocky Mountains of northern Colorado and flows southwest through Utah into Arizona (where it flows through the Grand Canyon) and then southward through the southern tip of Nevada, then forming the border between California and Arizona and finally into Mexico where it empties into the Gulf of California; the main source of water in the southwestern United States
Colorado River|a river in Texas; flows southeast into the Gulf of Mexico
Colorado Plateau|a large plateau to the south and west of the Rocky Mountains; abuts mountains on the north and east and ends in an escarpment overlooking lowlands to the south and west; the Grand Canyon is carved out of the southwestern corner
Columba|a constellation in the southern hemisphere near Puppis and Caelum
Columbia River|a North American river; rises in southwestern Canada and flows southward across Washington to form the border between Washington and Oregon before emptying into the Pacific; known for its salmon runs in the spring
Coma Berenices|a constellation in the northern hemisphere between Ursa Major and Bootes; contains a cluster of some 10,000 galaxies
Mount Communism|the highest mountain peak in the Pamir Mountains; near the Chinese border in northeastern Tajikistan (24,590 feet high)
Congo River|a major African river (one of the world's longest); flows through Congo into the South Atlantic
Connecticut River|a river in the northeastern United States; flows south from northern New Hampshire along the border between New Hampshire and Vermont and through Massachusetts and Connecticut where it empties into Long Island Sound
Lake Constance|a lake in southeastern Germany on the northern side of the Swiss Alps; forms part of the Rhine River
Cook Strait|a narrow strait separating the North Island and South Island in New Zealand
Coosa River|river that rises in northwestern Georgia and flows southwest through eastern Alabama to join the Tallapoosa River near Montgomery and form the Alabama River
Coral Sea|an arm of the South Pacific to the northeast of Australia
Corona Borealis|a small constellation in the northern hemisphere between Bootes and Hercules
Corvus|a small quadrilateral constellation in the southern hemisphere near Virgo
Crab Nebula|a remnant of a supernova detected first in 1054 AD
Crater|a faint constellation in the southern hemisphere near Hydra and Corvus
Okeechobee Waterway|a waterway used by small boats to travel between the Atlantic Ocean and the Gulf of Mexico through Lake Okeechobee and the Caloosahatchee Canal and the Caloosahatchee River
Earth's crust|the outer layer of the Earth
Cumberland River|a river that rises in southeastern Kentucky and flows westward through northern Tennessee to become a tributary of the Ohio River in southwestern Kentucky
Cumberland Gap|a pass through the Cumberland Mountains between Virginia and Kentucky that early settlers used in order to move west
Cumberland Plateau|the southwestern part of the Appalachians
Cuquenan Falls|a famous waterfall in Venezuela
Cygnus|a constellation in the northern hemisphere between Pegasus and Draco in the Milky Way; contains a black hole
Danube River|the 2nd longest European river (after the Volga); flows from southwestern Germany to the Black Sea; "Vienna, Budapest, and Belgrade are on the banks of the Danube"
Darling River|an Australian river; tributary of the Murray River
Dead Sea|a saltwater lake on the border between Israel and Jordan; its surface in 1292 feet below sea level
Deimos|the outer of two small satellites of Mars
Delaware River|a river that rises in the Catskills in southeastern New York and flows southward along the border of Pennsylvania with New York and New Jersey to northern Delaware where it empties into Delaware Bay
Delaware Bay|an inlet of the North Atlantic; fed by the Delaware River
Delphinus|a constellation in the northern hemisphere near Pegasus and Aquila
Demerara|a river in northern Guyana that flows northward into the Atlantic
Denali Fault|a major open geological fault in Alaska
Deneb|the brightest star in Cygnus
Denebola|a star in Leo approximately 43 light years from Earth
Detroit River|a short river flowing from Lake St. Clair to Lake Erie along the border between the United States and Canada; one the busiest inland waterways in the world
Dnieper River|a river that rises in Russia near Smolensk and flowing south through Belarus and Ukraine to empty into the Black Sea
Dolomite Alps|an eastern range of the Alps in northeastern Italy famous for their dolomitic limestone
Don River|a European river in southwestern Russia; flows into the Sea of Azov
Donner Pass|a mountain pass in northeastern California near Lake Tahoe; site where in 1844 some members of an emigrant party survived by eating those who had died
Dorado|a constellation in the southern hemisphere near Reticulum and Pictor; contains most of the Large Magellanic Cloud
Draco|a faint constellation twisting around the north celestial pole and lying between Ursa Major and Cepheus
Earth|the 3rd planet from the sun; the planet we live on; "the Earth moves around the sun"; "he sailed around the world"
East China Sea|part of the Pacific Ocean near eastern Asia
Ebro River|a river in northeastern Spain; flows into the Mediterranean
Elbe River|a river in central Europe that arises in northwestern Czechoslovakia and flows northward through Germany to empty into the North Sea
Elizabeth River|a short river in southeastern Virginia flowing between Norfolk and Portsmouth into Hampton Roads
English Channel|an arm of the Atlantic Ocean that forms a channel between France and Britain
Eridanus|a constellation in the southern hemisphere near Fornax and Cetus
Euphrates River|a river in southwestern Asia; flows into the Persian Gulf; was important in the development of several great civilizations in ancient Mesopotamia
Eurasia|the land mass formed by the continents of Europe and Asia
Galilean satellite|the 4th largest of Jupiter's satellites; covered with a smooth shell of frozen water
Europe|the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles
Mount Everest|a mountain in the central Himalayas on the border of Tibet and Nepal; the highest mountain peak in the world (29,028 feet high)
Everglades|a large subtropical swamp in southern Florida that is noted for its wildlife
Lake Eyre|a shallow salt lake in south central Australia about 35 feet below sea level; the largest lake in the country and the lowest point on the continent
Eyre Peninsula|a peninsula of southern Australia
Fingal's Cave|a large cave with basaltic pillars on Staffa island in Scotland
Firth of Clyde|a firth on the southwestern coast of Scotland emptying into the North Channel
Firth of Forth|a large firth on the east coast of Scotland and the estuary of the Forth River; location of Edinburgh
Flint River|a river in western Georgia that flows generally south to join the Chattahoochee River at the Florida border where they form the Apalachicola River
Fornax|a faint constellation in the southern hemisphere near Cetus and Phoenix
Forth River|a river in southern Scotland that flows eastward to the Firth of Forth
Fountain of Youth|a fountain described in folk tales as able to make people young again; "Ponce de Leon discovered Florida while searching for the Fountain of Youth"
Fox River|a river in Wisconsin that flows into Lake Michigan
Galilean satellite|one of the four satellites of Jupiter that were discovered by Galileo
Galveston Bay|an arm of the Gulf of Mexico in Texas to the south of Houston
Galway Bay|a bay of the North Atlantic on the west coast of Ireland
Ganges River|an Asian river; rises in the Himalayas and flows east into the Bay of Bengal; a sacred river of the Hindus
Kan River|a river in southeastern China that flows generally north into the Chang Jiang to the north of Nanchang
Galilean satellite|the largest of Jupiter's satellites
Garonne River|a river that rises in the Pyrenees and flows northwest to the Bay of Biscay
Gemini|a zodiacal constellation in the northern hemisphere between Taurus and Cancer on the ecliptic
Gila River|a river that rises in western New Mexico and flows westward through southern Arizona to become a tributary of the Colorado River
Golden Gate|a strait in western California that connects the San Francisco Bay with the Pacific Ocean; discovered in 1579 by Sir Francis Drake
Gondwanaland|a hypothetical continent that (according to plate tectonic theory) broke up later into India and Australia and Africa and South America and Antarctica
Grand Canyon|the enormous gorge of the Colorado River in northern Arizona
Grand River|a river in southern Michigan that flows northwest to empty into Lake Michigan
Great Attractor|a massive grouping of galaxies in the direction of Centaurus and Hydra whose gravitational attraction is believed to cause deviations in the paths of other galaxies
Great Australian Bight|a wide bay of the Indian Ocean in southern Australia; notorious for storms
Ursa Major|a constellation outside the zodiac that rotates around the North Star
Eastern Highlands|a mountain range running along the eastern coast of Australia
Great Lakes|a group of five large, interconnected lakes in central North America
Great Plains of North America|a vast prairie region extending from Alberta and Saskatchewan and Manitoba in Canada south through the west central United States into Texas; formerly inhabited by Native Americans
Great Salt Lake|a shallow body of salt water in northwestern Utah
Great Slave Lake|a lake in the Northwest Territories in northwestern Canada; drained by the Mackenzie River
Great Smoky Mountains|part of the Appalachians between North Carolina and Tennessee
Green River|a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River
Greenland Sea|part of the Arctic Ocean to the north of Iceland
Green Mountains|a range of the Appalachian Mountains that extends from south to north through Vermont
Grus|a small constellation in the southern hemisphere near Phoenix
Guadalupe Mountains|a mountain range in southern New Mexico and western Texas; the southern extension of the Sacramento Mountains
Guantanamo Bay|an inlet of the Caribbean Sea; a United States naval station was established on the bay in 1903
Gulf Coast|a seashore of the Gulf of Mexico
Gulf of Aden|arm of the Indian Ocean at the entrance to the Red Sea
Gulf of Alaska|a gulf of the Pacific Ocean between the Alaska Peninsula and the Alexander Archipelago
Gulf of Antalya|a gulf of the Mediterranean Sea in southwestern Turkey
Gulf of Akaba|a northeastern arm of the Red Sea; between the Sinai Peninsula (Egypt) and Saudi Arabia
Gulf of Bothnia|a northern arm of the Baltic Sea; between Sweden and Finland
Sea of Cortes|a gulf to the west of the mainland of Mexico
Golfo de Campeche|a part of the Gulf of Mexico to the west of Yucatan
Gulf of Carpentaria|a wide shallow inlet of the Arafura Sea in northern Australia
Gulf of Lepanto|inlet of the Ionian Sea between central Greece and the Peloponnesus
