Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Hablot Knight Browne|English illustrator of several of Dickens' novels (1815-1882)
Elizabeth Barrett Browning|English poet best remembered for love sonnets written to her husband Robert Browning (1806-1861)
Robert Browning|English poet and husband of Elizabeth Barrett Browning noted for his dramatic monologues (1812-1889)
John M. Browning|United States inventor of firearms (especially automatic pistols and repeating rifles and a machine gun called the Peacemaker) (1855-1926)
Robert the Bruce|king of Scotland from 1306 to 1329; defeated the English army under Edward II at Bannockburn and gained recognition of Scottish independence (1274-1329)
David Bruce|Australian physician and bacteriologist who described the bacterium that causes undulant fever or brucellosis (1855-1931)
Max Bruch|German composer (1838-1920)
Anton Bruckner|Austrian organist and composer of romantic music (1824-1896)
Brueghel|Flemish painter of landscapes (1525-1569)
George Bryan Brummell|English dandy who was a fashion leader during the Regency (1778-1840)
Filippo Brunelleschi|Florentine architect who was the first great architect of the Italian Renaissance (1377-1446)
Giordano Bruno|Italian philosopher who used Copernican principles to develop a pantheistic monistic philosophy; condemned for heresy by the Inquisition and burned at the stake (1548-1600)
Saint Bruno|(Roman Catholic Church) a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032-1101)
Marcus Junius Brutus|statesman of ancient Rome who (with Cassius) led a conspiracy to assassinate Julius Caesar (85-42 BC)
William Jennings Bryan|United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925)
Martin Buber|Israeli religious philosopher (born in Austria); as a Zionist he promoted understanding between Jews and Arabs; his writings affected Christian thinkers as well as Jews (1878-1965)
James Buchanan|15th President of the United States (1791-1868)
Eduard Buchner|German organic chemist who studied alcoholic fermentation and discovered zymase (1860-1917)
Pearl Buck|United States author whose novels drew on her experiences as a missionary in China (1892-1973)
Don Budge|United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
Nikolai Ivanovich Bukharin|Bolshevik leader in Russia who advocated gradual collectivism of the farms; was executed in a purge by Stalin (1888-1938)
Charles Bullfinch|United States architect who designed the Capitol Building in Washington which served as a model for state capitols throughout the United States (1763-1844)
Rudolf Bultmann|a Lutheran theologian in Germany (1884-1976)
Ralph Bunche|United States diplomat and United Nations official (1904-1971)
Robert Bunsen|German chemist who with Kirchhoff pioneered spectrum analysis but is remembered mainly for his invention of the Bunsen burner (1811-1899)
Luis Bunuel|Spanish film director (1900-1983)
John Bunyan|English preacher and author of an allegorical novel, Pilgrim's Progress (1628-1688)
Richard Burbage|English actor who was the first to play the leading role in several of Shakespeare's tragedies (1567-1619)
Luther Burbank|United States horticulturist who developed many new varieties of fruits and vegetables and flowers (1849-1926)
Warren Burger|United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
Anthony Burgess|English writer of satirical novels (1917-1993)
John Burgoyne|British general in the American Revolution who captured Fort Ticonderoga but lost the battle of Saratoga in 1777 (1722-1792)
Martha Jane Burk|United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903)
Edmund Burke|British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797)
Frances Hodgson Burnett|United States writer (born in England) remembered for her novels for children (1849-1924)
Daniel Hudson Burnham|United States architect who designed the first important skyscraper with a skeleton (1846-1912)
Robert Burns|celebrated Scottish poet (1759-1796)
George Burns|United States comedian and film actor (1896-1996)
A. E. Burnside|United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881)
Aaron Burr|United States politician who served as vice president under Jefferson; he mortally wounded his political rival Alexander Hamilton in a duel and fled south (1756-1836)
Edgar Rice Burroughs|United States novelist and author of the Tarzan stories (1875-1950)
William Seward Burroughs|United States inventor who patented the first practical adding machine (1855-1898)
William Burroughs|United States writer noted for his works portraying the life of drug addicts (1914-1997)
Cyril Burt|English psychologist whose studies of twins were later said to have used fabricated data (1883-1971)
Richard Burton|Welsh film actor who often co-starred with Elizabeth Taylor (1925-1984)
Richard Burton|English explorer who with John Speke was the first European to explore Lake Tanganyika (1821-1890)
George Bush|vice president under Reagan and 41st President of the United States (born in 1924)
Vannevar Bush|United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974)
George Bush|43rd President of the United States; son of George Herbert Walker Bush (born in 1946)
Barack Hussein Obama|44th President of the United States; first African-American President
David Bushnell|American inventor who in 1775 designed a man-propelled submarine that was ineffectual but subsequently earned him recognition as a submarine pioneer (1742-1824)
Samuel Butler|English poet (1612-1680)
Samuel Butler|English novelist who described a fictitious land he called Erewhon (1835-1902)
William Butterfield|English architect who designed many churches (1814-1900)
Richard E. Byrd|explorer and United States naval officer; led expeditions to explore Antarctica (1888-1957)
William Byrd|English organist and composer of church music; master of 16th century polyphony; was granted a monopoly in music printing with Thomas Tallis (1543-1623)
Lord George Gordon Byron|English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824)
James Branch Cabell|United States writer of satirical novels (1879-1958)
John Cabot|Italian explorer who led the English expedition in 1497 that discovered the mainland of North America and explored the coast from Nova Scotia to Newfoundland (ca. 1450-1498)
Sebastian Cabot|son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557)
Caesar|conqueror of Gaul and master of Italy (100-44 BC)
Sid Caesar|United States comedian who pioneered comedy television shows (born 1922)
John Cage|United States composer of avant-garde music (1912-1992)
Count Alessandro di Cagliostro|Italian who was famous as a magician and alchemist (1743-1795)
Jimmy Cagney|United States film actor known for his portrayals of tough characters (1899-1986)
Alexander Calder|United States sculptor who first created mobiles and stabiles (1898-1976)
Calderon de la Barca|Spanish poet and dramatist considered one of the great Spanish writers (1600-1681)
Erskine Caldwell|United States author remembered for novels about poverty and degeneration (1903-1987)
Caligula|Roman Emperor who succeeded Tiberius and whose uncontrolled passions resulted in manifest insanity; noted for his cruelty and tyranny; was assassinated (12-41)
Guy of Burgundy|pope who in 1122 forced the Holy Roman Emperor Henry V to sign a concordat that recognized the right of the church to choose its own leadership (died in 1124)
Calixtus III|Italian pope whose nepotism put the Borgia family in power in Italy (1378-1458)
Maria Callas|Greek coloratura soprano (born in the United States) known for her dramatic intensity in operatic roles (1923-1977)
John Calvin|Swiss theologian (born in France) whose tenets (predestination and the irresistibility of grace and justification by faith) defined Presbyterianism (1509-1564)
Melvin Calvin|United States chemist noted for discovering the series of chemical reactions in photosynthesis (1911-)
Italo Calvino|Italian writer of novels and short stories (born in Cuba) (1923-1987)
Joseph Campbell|United States mythologist (1904-1987)
Albert Camus|French writer who portrayed the human condition as isolated in an absurd world (1913-1960)
Elias Canetti|English writer born in Germany (1905-1994)
Canute|king of Denmark and Norway who forced Edmund II to divide England with him; on the death of Edmund II, Canute became king of all England (994-1035)
Karel Capek|Czech writer who introduced the word `robot' into the English language (1890-1938)
Al Capone|United States gangster who terrorized Chicago during prohibition until arrested for tax evasion (1899-1947)
Frank Capra|United States film maker (1897-1991)
Michelangelo Merisi da Caravaggio|Italian painter noted for his realistic depiction of religious subjects and his novel use of light (1573-1610)
Giosue Carducci|Italian poet considered the national poet of modern Italy (1835-1907)
Thomas Carew|Englishman and Cavalier poet whose lyric poetry was favored by Charles I (1595-1639)
Carl XVI Gustaf|king of Sweden since 1973 (born 1946)
Thomas Carlyle|Scottish historian who wrote about the French Revolution (1795-1881)
Hoagy Carmichael|United States songwriter (1899-1981)
Andrew Carnegie|United States industrialist and philanthropist who endowed education and public libraries and research trusts (1835-1919)
Dale Carnegie|United States educator famous for writing a book about how to win friends and influence people (1888-1955)
Sadi Carnot|French physicist who founded thermodynamics (1796-1832)
Wallace Carothers|United States chemist who developed nylon (1896-1937)
Alexis Carrel|French surgeon and biologist who developed a way to suture and graft blood vessels (1873-1944)
John Merven Carrere|United States architect who with his partner Thomas Hastings designed many important public buildings (1858-1911)
Lewis Carroll|English author; Charles Dodgson was an Oxford don of mathematics who is remembered for the children's stories he wrote under the pen name Lewis Carroll (1832-1898)
Kit Carson|United States frontiersman who guided Fremont's expeditions in the 1840s and served as a Union general in the American Civil War (1809-1868)
Rachel Carson|United States biologist remembered for her opposition to the use of pesticides that were hazardous to wildlife (1907-1964)
Jimmy Carter|39th President of the United States (1924-)
Howard Carter|Englishman and Egyptologist who in 1922 discovered and excavated the tomb of Tutankhamen (1873-1939)
Jacques Cartier|French explorer who explored the St. Lawrence river and laid claim to the region for France (1491-1557)
Edmund Cartwright|English clergyman who invented the power loom (1743-1823)
Enrico Caruso|outstanding Italian operatic tenor (1873-1921)
George Washington Carver|United States botanist and agricultural chemist who developed many uses for peanuts and soy beans and sweet potatoes (1864-1943)
Pablo Casals|an outstanding Spanish cellist noted for his interpretation of Bach's cello suites (1876-1973)
Giovanni Jacopo Casanova|an Italian adventurer who wrote vivid accounts of his sexual encounters (1725-1798)
Johnny Cash|United States country music singer and songwriter (1932-2003)
Caspar|(New Testament) one of the three sages from the east who came bearing gifts for the infant Jesus
Ernst Cassirer|German philosopher concerned with concept formation in the human mind and with symbolic forms in human culture generally (1874-1945)
Cassius Longinus|prime mover in the conspiracy against Julius Caesar (died in 42 BC)
Fidel Castro|Cuban socialist leader who overthrew a dictator in 1959 and established a Marxist socialist state in Cuba (born in 1927)
Willa Cather|United States writer who wrote about frontier life (1873-1947)
Catherine I|empress of Russia who succeeded her husband Peter the Great (1684-1727)
Catherine II|empress of Russia who greatly increased the territory of the empire (1729-1796)
Catherine of Aragon|first wife of Henry VIII; Henry VIII's divorce from her was the initial step of the Reformation in England (1485-1536)
Catherine de Medicis|queen of France as the wife of Henry II and regent during the minority of her son Charles IX (1519-1589)
Gaius Valerius Catullus|Roman lyric poet remembered for his love poems to an aristocratic Roman woman (84-54 BC)
Edith Cavell|English nurse who remained in Brussels after the German occupation in order to help Allied prisoners escape; was caught and executed by the Germans (1865-1915)
Henry Cavendish|British chemist and physicist who established that water is a compound of hydrogen and oxygen and who calculated the density of the earth (1731-1810)
William Caxton|English printer who in 1474 printed the first book in English (1422-1491)
Benvenuto Cellini|Italian sculptor (1500-1571)
Anders Celsius|Swedish astronomer who devised the centigrade thermometer (1701-1744)
Miguel de Cervantes|Spanish writer best remembered for `Don Quixote' which satirizes chivalry and influenced the development of the novel form (1547-1616)
Paul Cezanne|French Post-impressionist painter who influenced modern art (especially cubism) by stressing the structural components latent in nature (1839-1906)
Marc Chagall|French painter (born in Russia) noted for his imagery and brilliant colors (1887-1985)
Neville Chamberlain|British statesman who as Prime Minister pursued a policy of appeasement toward fascist Germany (1869-1940)
William Chambers|English architect (1723-1796)
Samuel de Champlain|French explorer in Nova Scotia who established a settlement on the site of modern Quebec (1567-1635)
Jean Francois Champollion|Frenchman and Egyptologist who studied the Rosetta Stone and in 1821 became the first person to decipher Egyptian hieroglyphics (1790-1832)
Raymond Chandler|United States writer of detective thrillers featuring the character of Philip Marlowe (1888-1959)
Charlie Chaplin|English comedian and film maker; portrayed a downtrodden little man in baggy pants and bowler hat (1889-1977)
John Chapman|United States pioneer who planted apple trees as he traveled (1774-1845)
Ernst Boris Chain|British biochemist (born in Germany) who isolated and purified penicillin, which had been discovered in 1928 by Sir Alexander Fleming (1906-1979)
Capet|King of France elected in 987 and founding the Capetian dynasty (940-996)
James McKeen Cattell|American psychologist and editor (1860-1944)
Ray Cattell|American psychologist (born in England) who developed a broad theory of human behavior based on multivariate research (1905-1998)
Jean Martin Charcot|French neurologist who tried to use hypnotism to cure hysteria (1825-1893)
Charlemagne|king of the Franks and Holy Roman Emperor; conqueror of the Lombards and Saxons (742-814)
Jacques Charles|French physicist and author of Charles's law which anticipated Gay-Lussac's law (1746-1823)
Prince Charles|the eldest son of Elizabeth II and heir to the English throne (born in 1948)
Charles|son of James I who was King of England and Scotland and Ireland; was deposed and executed by Oliver Cromwell (1600-1649)
Charles|King of England and Scotland and Ireland during the Restoration (1630-1685)
Charles II|as Charles II he was Holy Roman Emperor and as Charles I he was king of France (823-877)
Charles VII|King of France who began his reign with most of northern France under English control; after the intervention of Jeanne d'Arc the French were able to defeat the English and end the Hundred Years' War (1403-1461)
Charles IX|King of France from 1560 to 1574 whose reign was dominated by his mother Catherine de Medicis (1550-1574)
Salmon P. Chase|United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
Francois Rene Chateaubriand|French statesman and writer; considered a precursor of the romantic movement in France (1768-1848)
Geoffrey Chaucer|English poet remembered as author of the Canterbury Tales (1340-1400)
Cesar Chavez|United States labor leader who organized farm workers (born 1927)
Carlos Chavez|Mexican composer of nationalistic works using themes from Indian folk music (1899-1978)
John Cheever|United States writer of novels and short stories (1912-1982)
Chekhov|Russian dramatist whose plays are concerned with the difficulty of communication between people (1860-1904)
Luigi Cherubini|Italian composer of church music and operas (1760-1842)
Fourth Earl of Chesterfield|suave and witty English statesman remembered mostly for letters to his son (1694-1773)
G. K. Chesterton|conservative English writer of the Roman Catholic persuasion; in addition to volumes of criticism and polemics he wrote detective novels featuring Father Brown (1874-1936)
Maurice Chevalier|French actor and cabaret singer (1888-1972)
Chiang Chung-cheng|Chinese military and political figure; in the Chinese civil war that followed World War II he was defeated by the Chinese communists and in 1949 was forced to withdraw to Taiwan where he served as president of Nationalist China until his death (1897-1975)
Thomas Chippendale|a British cabinetmaker remembered for his graceful designs (especially of chairs) which influenced his contemporaries (1718-1779)
Giorgio de Chirico|Italian painter (born in Greece) whose deep shadows and barren landscapes strongly influenced the surrealists (1888-1978)
Noam Chomsky|United States linguist whose theory of generative grammar redefined the field of linguistics (born 1928)
Frederic Francois Chopin|French composer (born in Poland) and pianist of the romantic school (1810-1849)
Kate Chopin|United States writer who described Creole life in Louisiana (1851-1904)
Agatha Christie|prolific English writer of detective stories (1890-1976)
Saint Christopher|Christian martyr and patron saint of travellers (3rd century)
Churchill|British statesman and leader during World War II; received Nobel prize for literature in 1953 (1874-1965)
John Churchill|English general considered one of the greatest generals in history (1650-1722)
John Ciardi|United States poet and critic (1916-1986)
Marcus Tullius Cicero|a Roman statesman and orator remembered for his mastery of Latin prose (106-43 BC)
Giovanni Cimabue|painter of the Florentine school; anticipated the move from Byzantine to naturalistic art (1240-1302)
Lucius Quinctius Cincinnatus|Roman statesman regarded as a model of simple virtue; he twice was called to assume dictatorship of Rome and each time retired to his farm (519-438 BC)
Joe Clark|Canadian politician who served as prime minister (1939-)
Kenneth Clark|United States psychologist (born in Panama) whose research persuaded the Supreme Court that segregated schools were discriminatory (1914-2005)
Mark Clark|United States general who was Allied commander in Africa and Italy in World War II and was commander of the United Nations forces in Korea (1896-1984)
William Clark|United States explorer who (with Meriwether Lewis) led an expedition from St. Louis to the mouth of the Columbia River; Clark was responsible for making maps of the area (1770-1838)
Claudius I|Roman Emperor after his nephew Caligula was murdered; consolidated the Roman Empire and conquered southern Britain; was poisoned by his fourth wife Agrippina after her son Nero was named as Claudius' heir (10 BC to AD 54)
Karl von Clausewitz|Prussian general and military theorist who proposed a doctrine of total war and war as an extension of diplomacy (1780-1831)
Henry Clay|United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)
Lucius Clay|United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
Cleanthes|ancient Greek philosopher who succeeded Zeno of Citium as the leader of the Stoic school (300-232 BC)
Georges Clemenceau|French statesman who played a key role in negotiating the Treaty of Versailles (1841-1929)
Samuel Langhorne Clemens|United States writer and humorist best known for his novels about Tom Sawyer and Huckleberry Finn (1835-1910)
Guibert of Ravenna|Italian antipope from 1080 to 1100 who was installed as pope by the Holy Roman Emperor Henry IV who consistently opposed efforts at papal reform (died in 1100)
Giulio de' Medici|Italian pope from 1523 to 1534 who broke with Henry VIII of England after Henry VIII divorced Catherine of Aragon and married Anne Boleyn (1478-1534)
Giovanni Francesco Albani|Italian pope from 1700 to 1721 who condemned Jansenist ideas on papal infallibility
Lorenzo Ganganelli|Italian pope from 1769 to 1774 who lost whatever support remained of Catholic Europe, causing the church to fall into the hands of secular princes (1705-1774)
Cleopatra|beautiful and charismatic queen of Egypt; mistress of Julius Caesar and later of Mark Antony; killed herself to avoid capture by Octavian (69-30 BC)
Grover Cleveland|22nd and 24th President of the United States (1837-1908)
Martin Cline|American geneticist who succeeded in transferring a functioning gene from one mouse to another (born in 1934)
DeWitt Clinton|United States politician who as governor of New York supported the project to build the Erie Canal (1769-1828)
Bill Clinton|42nd President of the United States (1946-)
Hilary Clinton|wife of President Clinton and later a woman member of the United States Senate (1947-)
Robert Clive|British general and statesman whose victory at Plassey in 1757 strengthened British control of India (1725-1774)
Clovis I|king of the Franks who unified Gaul and established his capital at Paris and founded the Frankish monarchy; his name was rendered as Gallic `Louis' (466-511)
Imogene Coca|United States comedienne who starred in early television shows with Sid Caesar (1908-2001)
Indian chief|Apache leader of the resistance to United States troops in Arizona (1812-1874)
Jacqueline Cochran|United States aviator who held several speed records and headed the women's Air Force pilots in World War II (1910-1980)
Sir John Cockcroft|British physicist who (with Ernest Walton in 1931) first split an atom (1897-1967)
Jean Cocteau|French writer and film maker who worked in many artistic media (1889-1963)
William F. Cody|United States showman famous for his Wild West Show (1846-1917)
George M. Cohan|United States songwriter and playwright famous for his patriotic songs (1878-1942)
Ferdinand Julius Cohn|German botanist who is generally recognized as founding bacteriology when he recognized bacteria as plants
Coleridge|English romantic poet (1772-1834)
Sidonie-Gabrielle Colette|French writer of novels about women (1873-1954)
Wilkie Collins|English writer noted for early detective novels (1824-1889)
Columbus|Italian navigator who discovered the New World in the service of Spain while looking for a route to China (1451-1506)
John Amos Comenius|Czech educational reformer (1592-1670)
Arthur Compton|United States physicist noted for research on x-rays and gamma rays and nuclear energy; his observation that X-rays behave like miniature bowling balls in their interactions with electrons provided evidence for the quantal nature of light (1892-1962)
Anthony Comstock|United States reformer who led moral crusades against art and literature that he considered obscene (1844-1915)
Auguste Comte|French philosopher remembered as the founder of positivism; he also established sociology as a systematic field of study
A. Conan Doyle|British author who created Sherlock Holmes (1859-1930)
Marquis de Condorcet|French mathematician and philosopher (1743-1794)
Confucius|Chinese philosopher whose ideas and sayings were collected after his death and became the basis of a philosophical doctrine known a Confucianism (circa 551-478 BC)
William Congreve|English playwright remembered for his comedies (1670-1729)
Maureen Catherine Connolly|United States tennis player who was the first woman to win the United States, British, French, and Australian championships in the same year (1953) (1934-1969)
Jimmy Conors|outstanding United States tennis player (born in 1952)
Joseph Conrad|English novelist (born in Poland) noted for sea stories and for his narrative technique (1857-1924)
John Constable|English landscape painter (1776-1837)
Constantine I|Emperor of Rome who stopped the persecution of Christians and in 324 made Christianity the official religion of the Roman Empire; in 330 he moved his capital from Rome to Byzantium and renamed it Constantinople (280-337)
James Cook|English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
Jay Cooke|United States financier who marketed Union bonds to finance the American Civil War; the failure of his bank resulted in a financial panic in 1873 (1821-1905)
Alistair Cooke|United States journalist (born in England in 1908)
Calvin Coolidge|elected vice president and succeeded as 30th President of the United States when Harding died in 1923 (1872-1933)
James Fenimore Cooper|United States novelist noted for his stories of American Indians and the frontier life (1789-1851)
Gary Cooper|United States film actor noted for his portrayals of strong silent heroes (1901-1961)
Peter Cooper|United States industrialist who built the first American locomotive; founded Cooper Union in New York City to offer free courses in the arts and sciences (1791-1883)
Nicolaus Copernicus|Polish astronomer who produced a workable model of the solar system with the sun in the center (1473-1543)
Aaron Copland|United States composer who developed a distinctly American music (1900-1990)
John Copley|American painter who did portraits of Paul Revere and John Hancock before fleeing to England to avoid the American Revolution (1738-1815)
Francis Ford Coppola|United States filmmaker (born in 1939)
Jim Corbett|United States heavyweight boxing champion (1866-1933)
Charlotte Corday|French revolutionary heroine (a Girondist) who assassinated Marat (1768-1793)
Francisco Fernandez Cordoba|Spanish explorer who discovered Yucatan (1475-1526)
Arcangelo Corelli|Italian violinist and composer of violin concertos (1653-1713)
Pierre Corneille|French tragic dramatist whose plays treat grand moral themes in elegant verse (1606-1684)
Ezra Cornell|United States businessman who unified the telegraph system in the United States and who in 1865 (with Andrew D. White) founded Cornell University (1807-1874)
Katherine Cornell|United States actress noted for her performances in Broadway plays (1893-1974)
Charles Cornwallis|commander of the British forces in the American War of Independence; was defeated by American and French troops at Yorktown (1738-1805)
Jean Baptiste Camille Corot|French painter of Italian landscapes (1796-1875)
Antonio Allegri da Correggio|Italian painter noted for his use of chiaroscuro and perspective (1494-1534)
Cortes|Spanish conquistador who defeated the Aztecs and conquered Mexico (1485-1547)
Cosimo the Elder|Italian financier and statesman and friend of the papal court (1389-1464)
Emile Coue|French psychotherapist who claimed that if one imagined one was getting better, one would get better (1857-1926)
Charles Augustin de Coulomb|French physicist famous for his discoveries in the field of electricity and magnetism; formulated Coulomb's Law (1736-1806)
Francois Couperin|French composer of music for organ and a member of a family of distinguished organists (1668-1733)
Gustave Courbet|French painter noted for his realistic depiction of everyday scenes (1819-1877)
Margaret Court|Australian woman tennis player who won many major championships (born in 1947)
Jacques Costeau|French underwater explorer (born in 1910)
Noel Coward|English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)
William Cowper|English poet who wrote hymns and poetry about nature (1731-1800)
William Cowper|English surgeon who discovered Cowper's gland (1666-1709)
William A. Craigie|English lexicographer who was a joint editor of the Oxford English Dictionary (1872-1966)
Hart Crane|United States poet (1899-1932)
Stephen Crane|United States writer (1871-1900)
Joan Crawford|United States film actress (1908-1977)
Thomas Crawford|United States neoclassical sculptor (1814-1857)
Crazy Horse|a chief of the Sioux who resisted the invasion of the Black Hills and joined Sitting Bull in the defeat of General Custer at Little Bighorn (1849-1877)
James Crichton|Scottish man of letters and adventurer (1560-1582)
Francis Crick|English biochemist who (with Watson in 1953) helped discover the helical structure of DNA (1916-2004)
Saint Crispin|patron saint of shoemakers; he and his brother were martyred for trying to spread Christianity (3rd century)
Davy Crockett|United States frontiersman and Tennessee politician who died at the siege of the Alamo (1786-1836)
Croesus|last king of Lydia (died in 546 BC)
Burrill Bernard Crohn|United States physician who specialized in diseases of the intestines; he was the first to describe regional ileitis which is now known as Crohn's disease (1884-1983)
Cromwell|English general and statesman who led the parliamentary army in the English Civil War (1599-1658)
Hume Cronyn|Canadian actor who frequently played character parts with his wife Jessica Tandy (1911-2003)
William Crookes|English chemist and physicist; discovered thallium; invented the radiometer and studied cathode rays (1832-1919)
Bing Crosby|United States singer and film actor (1903-1977)
Russel Crouse|United States playwright (1893-1966)
Ely Culbertson|United States authority on contract bridge whose books helped to popularize the game (1891-1955)
William Augustus|English general; son of George II; fought unsuccessfully in the battle of Fontenoy (1721-1765)
Merce Cunningham|United States dancer and choreographer (born in 1922)
Marie Curie|French chemist (born in Poland) who won two Nobel prizes; one (with her husband and Henri Becquerel) for research on radioactivity and another for her discovery of radium and polonium (1867-1934)
Pierre Curie|French physicist; husband of Marie Curie (1859-1906)
Robert Curl|American chemist who with Richard Smalley and Harold Kroto discovered fullerenes and opened a new branch of chemistry (born in 1933)
Nathaniel Currier|United States lithographer who (with his partner James Ives) produced thousands of prints signed `Currier & Ives' (1813-1888)
William Curtis|English botanical writer and publisher (1746-1799)
Glenn Curtiss|United States industrialist and aviation pioneer (1878-1930)
Harvey Cushing|United States neurologist noted for his study of the brain and pituitary gland and who identified Cushing's syndrome (1869-1939)
George Armstrong Custer|United States general who was killed along with all his command by the Sioux at the Battle of Little Bighorn (1839-1876)
Georges Cuvier|French naturalist known as the father of comparative anatomy (1769-1832)
Cynewulf|Anglo-Saxon poet (circa 9th century)
Savinien Cyrano de Bergerac|a French soldier and dramatist remembered chiefly for fighting many duels (often over the size of his nose); was immortalized in 1897 in a play by Edmond Rostand (1619-1655)
Saint Cyril|Greek missionary; the invention of the Cyrillic alphabet is attributed to him (826-869)
Cyrus the Younger|Persian prince who was defeated in battle by his brother Artaxerxes II (424-401 BC)
Cyrus the Elder|king of Persia and founder of the Persian Empire (circa 600-529 BC)
Karl Czerny|Austrian virtuoso pianist and composer of many works for the piano; studied with Beethoven and was a teacher of Liszt (1791-1857)
Vasco da Gamma|Portuguese navigator who led an expedition around the Cape of Good Hope in 1497; he sighted and named Natal on Christmas Day before crossing the Indian Ocean (1469-1524)
Louis Jacques Mande Daguerre|French inventor of the first practical photographic process, the daguerreotype (1789-1851)
Gottlieb Daimler|German engineer and automobile manufacturer who produced the first high-speed internal combustion engine (1834-1900)
Salvador Dali|surrealist Spanish painter (1904-1989)
John Dalton|English chemist and physicist who formulated atomic theory and the law of partial pressures; gave the first description of red-green color blindness (1766-1844)
Damocles|the Greek courtier to Dionysius the Elder who (according to legend) was condemned to sit under a naked sword that was suspended by a hair in order to demonstrate to him that being a king was not the happy state Damocles had said it was (4th century BC)
Damon|the friend of Phintias who pledged his life that Phintias would return (4th century BC)
Daniel|(Old Testament) a youth who was taken into the court of Nebuchadnezzar and given divine protection when thrown into a den of lions (6th century BC)
Dante|an Italian poet famous for writing the Divine Comedy that describes a journey through Hell and purgatory and paradise guided by Virgil and his idealized Beatrice (1265-1321)
Georges Jacques Danton|French revolutionary leader who stormed the Paris bastille and who supported the execution of Louis XVI but was guillotined by Robespierre for his opposition to the Reign of Terror (1759-1794)
Darius the Great|king of Persia who expanded the Persian Empire and invaded Greece but was defeated at the battle of Marathon (550-486 BC)
Darius III|king of Persia who was defeated by Alexander the Great; his murder effectively ended the Persian Empire (died in 330 BC)
Clarence Darrow|United States lawyer famous for his defense of lost causes (1857-1938)
Darwin|English natural scientist who formulated a theory of evolution by natural selection (1809-1882)
Honore Daumier|French painter best known for his satirical lithographs of bourgeois society (1808-1879)
David|(Old Testament) the 2nd king of the Israelites; as a young shepherd he fought Goliath (a giant Philistine warrior) and killed him by hitting him in the head with a stone flung from a sling; he united Israel with Jerusalem as its capital; many of the Psalms are attributed to David (circa 1000-962 BC)
Jacques Louis David|French neoclassical painter who actively supported the French Revolution (1748-1825)
Saint David|patron saint of Wales (circa 520-600)
Bette Davis|United States film actress (1908-1989)
Dwight Davis|United States tennis player who donated the Davis Cup for international team tennis competition (1879-1945)
Jefferson Davis|American statesman; president of the Confederate States of America during the American Civil War (1808-1889)
Miles Davis|United States jazz musician; noted for his trumpet style (1926-1991)
Stuart Davis|United States painter who developed an American version of cubism (1894-1964)
Humphrey Davy|English chemist who was a pioneer in electrochemistry and who used it to isolate elements sodium and potassium and barium and boron and calcium and magnesium and chlorine (1778-1829)
John Davys|English navigator who explored the Arctic while searching for the Northwest Passage (1550-1605)
William Dawes|American patriot who rode with Paul Revere to warn that the British were advancing on Lexington and Concord (1745-1799)
Clarence Day|United States writer best known for his autobiographical works (1874-1935)
Moshe Dayan|Israeli general and statesman (1915-1981)
James Dean|United States film actor whose moody rebellious roles made him a cult figure (1931-1955)
Michael Ellis De Bakey|United States heart surgeon who in 1966 implanted the first artificial heart in a human patient (born in 1908)
Eugene V. Debs|United States labor organizer who ran for President as a socialist (1855-1926)
Claude Debussy|French composer who is said to have created Impressionism in music (1862-1918)
Stephen Decatur|United States naval officer remembered for his heroic deeds (1779-1820)
Roman Emperor|Emperor of Rome who was proclaimed emperor against his will; his reign was notable for his severe persecution of Christians (201-251)
John Deere|United States industrialist who manufactured plows suitable for working the prairie soil (1804-1886)
Daniel Defoe|English writer remembered particularly for his novel about Robinson Crusoe (1660-1731)
Lee De Forest|United States electrical engineer who in 1907 patented the first triode vacuum tube, which made it possible to detect and amplify radio waves (1873-1961)
Edgar Degas|French impressionist painter (1834-1917)
General de Gaulle|French general and statesman who became very popular during World War II as the leader of the Free French forces in exile (1890-1970)
Dekker|English dramatist and pamphleteer (1572-1632)
Willem de Kooning|United States painter (born in the Netherlands) who was a leading American exponent of abstract expressionism (1904-1997)
Eugene Delacroix|French romantic painter (1798-1863)
Walter de la Mare|English poet remembered for his verse for children (1873-1956)
